,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
253,loggedout,,,10155231,apartment,duplex,275000,forsale,1020,xl,usainstalled,1938,good,,305,2,,,,,,true,,,,,2895200,immoformatosprl,agency,,,,,classifieddetails,en
254,loggedout,,,10155526,apartment,apartment,275000,forsale,1090,xl,usahyperequipped,,asnew,gas,166,2,,,true,,,,,,,,3046939,nexity(lamy)belgium,agency,,,,,classifieddetails,en
255,loggedout,,,10155626,apartment,apartment,295000,forsale,1210,xl,installed,2011,,electric,274,2,,,true,,true,,,2,,,3823799,immo-time,agency,,,,,classifieddetails,en
256,loggedout,,,10156538,apartment,apartment,295000,forsale,2930,xl,installed,1956,good,gas,363,3,,,true,50,true,true,,1,,,3692659,heylenvastgoedbrasschaat,agency,,,,,classifieddetails,en
257,loggedout,,,10156889,apartment,apartment,295000,forsale,8370,xl,installed,1975,good,gas,269,2,,,,,true,,,,,,2759428,immomarina,agency,,,,,classifieddetails,en
258,loggedout,,,9641565,house,house,184000,forsale,02550,xl,,,good,gas,,5,155,,true,,true,,,,1,,3160564,atipiimmobilière,agency,,,,,classifieddetails,en
259,loggedout,,,10121293,house,house,275000,forsale,1420,xl,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,1790430,eracedimmobraine-l&#039;alleud,agency,,,,,classifieddetails,en
260,loggedout,,,10158138,housegroup,housegroup,266000-272000,forsale,9600,l,,,,,,,,,,,,,,,2,1,3002339,vakmansvastgoed,agency,,,,,classifieddetails,en
261,loggedout,,,10158124,housegroup,housegroup,345221-346017,forsale,2440,l,,,,,,,,,,,,,,,,1,119988,rdkbouw,property_developer,,,,,classifieddetails,en
262,loggedout,,,10158132,house,house,497000,forsale,3600,l,,2009,good,gas,134,4,1317,,true,,true,true,,,,,3587131,eranobis,agency,,,,,classifieddetails,en
263,loggedout,,,10158131,house,house,295000,forsale,7900,m,installed,2021,,gas,,3,531,,,,true,,,,2,1,504697,maisonsbaijot,property_developer,,,,,classifieddetails,en
264,loggedout,,,10158129,apartment,duplex,219000,forsale,4451,l,,2020,,gas,,2,,,true,,true,,,,1,,3652111,agimmobilières.r.l.,agency,,,,,classifieddetails,en
265,loggedout,,,10158128,house,house,229000,forsale,4420,l,installed,,justrenovated,gas,180,2,115,,true,,true,true,,1,,,3652111,agimmobilières.r.l.,agency,,,,,classifieddetails,en
266,loggedout,,,10155998,apartment,apartment,349000,forsale,2580,xl,installed,2014,good,gas,101,2,,,true,,true,true,,,,,246833,immovercammen,agency,,,,,classifieddetails,en
267,loggedout,,,10142987,apartment,penthouse,1995000,forsale,1050,xl,usahyperequipped,2019,asnew,,109,4,,,true,,true,,,,1,1,1364801,victoire(immobilierneuf),real_estate_agency,,,,,classifieddetails,en
268,loggedout,,,9933883,apartment,duplex,185000,forsale,1080,xl,notinstalled,1925,torenovate,gas,430,4,,,true,,,,,,,,2895200,immoformatosprl,agency,,,,,classifieddetails,en
269,loggedout,,,10142647,apartment,apartment,199990,forsale,1070,xl,semiequipped,1968,tobedoneup,gas,950,3,,,true,,true,,,,,,3068837,hestiaimmobilier,agency,,,,,classifieddetails,en
270,loggedout,,,10142404,apartment,apartment,255000,forsale,1070,xl,usasemiequipped,2020,asnew,gas,90,1,,,,,true,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
