,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
101,loggedout,,,10146819,apartment,duplex,495000,forsale,1050,xl,hyperequipped,2022,asnew,gas,113,2,,,true,,true,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
102,loggedout,,,10146816,apartment,duplex,645000,forsale,1050,xl,hyperequipped,2022,asnew,gas,107,2,,,true,,true,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
103,loggedout,,,10152845,apartment,apartment,285000,forsale,5030,xl,installed,2006,good,gas,110,2,,,true,,true,,,1,,,3692030,trevitessier,agency,,,,,classifieddetails,en
104,loggedout,,,10152533,apartment,apartment,295000,forsale,1850,xl,installed,1995,justrenovated,gas,282,2,,,true,,true,,,1,,,3629223,immo-starattm,agency,,,,,classifieddetails,en
105,loggedout,,,10046455,apartment,apartment,299000,forsale,2830,xl,hyperequipped,1997,good,gas,173,2,,,,,true,,,,,,459890,treviaxus,agency,,,,,classifieddetails,en
106,loggedout,,,10156553,house,house,324500,forsale,2660,l,semiequipped,,,,298,3,240,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
107,loggedout,,,10156552,house,house,365000,forsale,2660,l,,,justrenovated,,227,4,180,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
108,loggedout,,,10156551,apartment,apartment,269000,forsale,9120,l,installed,1974,asnew,gas,153,2,,,,,true,,,,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
109,loggedout,,,10156550,apartment,apartment,279000,forsale,9120,l,installed,1995,good,gas,101,2,,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
110,loggedout,,,10156549,apartment,apartment,299000,forsale,2000,l,semiequipped,1942,torenovate,gas,640,1,,,true,,true,true,,3,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
111,loggedout,,,10156548,house,house,369000,forsale,9100,l,installed,,good,electric,290,5,200,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
112,loggedout,,,10156547,house,house,329000,forsale,9120,l,installed,1950,good,gas,317,2,339,,true,,,,,,3,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
113,loggedout,,,10156546,apartment,apartment,205000,forsale,2660,l,semiequipped,1968,good,,207,3,,,true,,true,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
114,loggedout,,,10138456,apartment,duplex,225000,forsale,9260,xl,installed,2017,asnew,gas,125,1,,,,,true,,,,1,,1989885,immodavinci,agency,,,,,classifieddetails,en
115,loggedout,,,10139511,apartmentgroup,apartmentgroup,259000-349000,forsale,9032,xl,,,,,110,,,,,,,,,,,1,2118760,landbergh,agency,,,,,classifieddetails,en
116,loggedout,,,10138534,apartment,apartment,310000,forsale,3010,xl,semiequipped,1993,good,gas,238,2,,,,,true,,,1,,,1000159,immoliv&#039;it,agency,,,,,classifieddetails,en
117,loggedout,,,10139639,apartmentgroup,apartmentgroup,352800-772800,forsale,2970,xl,,,,,,,,,,,,,,,,1,667471,redsgroup,agency,,,,,classifieddetails,en
118,loggedout,,,10140213,apartment,apartment,390000,forsale,1970,xl,usainstalled,1973,justrenovated,fueloil,176,2,,,true,,true,,,1,,,3884312,,private,,,,,classifieddetails,en
119,loggedout,,,10138601,apartmentgroup,apartmentgroup,455000-915000,forsale,1180,xl,,,,,55,,,,,,,,,3,3,1,2595964,lecobelvaneauventeneuf,real_estate_agency,,,,,classifieddetails,en
120,loggedout,,,10138633,apartment,apartment,595000,forsale,1200,xl,usahyperequipped,2008,asnew,gas,122,3,,,true,,true,,,,2,,2538985,keystones,agency,,,,,classifieddetails,en
121,loggedout,,,10144273,apartment,apartment,260000,forsale,1090,xl,installed,1969,good,gas,700,2,,,,,true,,,,,,3875698,swiximinternationalbelux,agency_paying_with_ogone,,,,,classifieddetails,en
122,loggedout,,,10146804,apartment,apartment,180000,forsale,9000,xl,semiequipped,1993,good,electric,363,1,,,,,,,,,,,3835654,convas,agency,,,,,classifieddetails,en
123,loggedout,,,10154312,apartment,apartment,230000,forsale,9800,xl,hyperequipped,2022,asnew,gas,,1,,,,,true,,,101,10,1,2118760,landbergh,agency,,,,,classifieddetails,en
124,loggedout,,,10154310,apartment,apartment,370000,forsale,9800,xl,hyperequipped,2022,asnew,gas,,2,,,,,true,,,101,10,1,2118760,landbergh,agency,,,,,classifieddetails,en
125,loggedout,,,10154297,apartment,apartment,437000,forsale,9810,xl,hyperequipped,2023,asnew,gas,,3,,,,,true,,,41,,1,2118760,landbergh,agency,,,,,classifieddetails,en
126,loggedout,,,10137075,apartment,flatstudio,89000,forsale,4500,xl,semiequipped,1980,tobedoneup,gas,436,0,,,,,,,,,,,2222,trevirasquain,agency,,,,,classifieddetails,en
127,loggedout,,,10137774,apartmentgroup,apartmentgroup,194081.48-265799.5,forsale,2930,xl,,,,,,,,,,,,,,,,1,3692659,heylenvastgoedbrasschaat,agency,,,,,classifieddetails,en
128,loggedout,,,10137594,apartment,flatstudio,195000,forsale,1030,xl,usasemiequipped,1967,justrenovated,gas,402,1,,,,,true,,,,,,2305,abitaagenceimmobilièrescrl,agency,,,,,classifieddetails,en
129,loggedout,,,10084941,apartment,apartment,220000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,1,,,,,true,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
130,loggedout,,,10137324,apartmentgroup,apartmentgroup,222000-362500,forsale,1070,xl,,,,,25,,,,,,,,,57,57,1,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
131,loggedout,,,10137093,apartmentgroup,apartmentgroup,253575-623700,forsale,2640,xl,,,,,,,,,,,,,,,,1,2034904,habicomvastgoed,agency,,,,,classifieddetails,en
132,loggedout,,,10084890,apartment,apartment,254000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,1,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
133,loggedout,,,10084884,apartment,apartment,259000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,1,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
134,loggedout,,,10137385,apartment,apartment,275000,forsale,1000,xl,hyperequipped,1970,tobedoneup,gas,237,2,,,true,,true,,,,,,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
135,loggedout,,,10137418,apartmentgroup,apartmentgroup,278000-313000,forsale,2250,xl,,,,,,,,,,,,,,,,1,409894,heylenvastgoedherentals,agency,,,,,classifieddetails,en
136,loggedout,,,10084865,apartment,apartment,280000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
137,loggedout,,,10084862,apartment,apartment,280000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
138,loggedout,,,10084860,apartment,apartment,280000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
139,loggedout,,,10084867,apartment,apartment,287500,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
140,loggedout,,,9966662,apartment,apartment,310000,forsale,1200,xl,usahyperequipped,1976,justrenovated,gas,228,3,,,true,,true,,,2,50,1,3623946,bytheway,agency,,,,,classifieddetails,en
141,loggedout,,,10084889,apartment,apartment,317500,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
142,loggedout,,,10084887,apartment,apartment,320000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
143,loggedout,,,10084943,apartment,apartment,335000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
144,loggedout,,,10156553,house,house,324500,forsale,2660,l,semiequipped,,,,298,3,240,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
145,loggedout,,,10156552,house,house,365000,forsale,2660,l,,,justrenovated,,227,4,180,,,,,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
146,loggedout,,,10156551,apartment,apartment,269000,forsale,9120,l,installed,1974,asnew,gas,153,2,,,,,true,,,,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
147,loggedout,,,10156550,apartment,apartment,279000,forsale,9120,l,installed,1995,good,gas,101,2,,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
148,loggedout,,,10156549,apartment,apartment,299000,forsale,2000,l,semiequipped,1942,torenovate,gas,640,1,,,true,,true,true,,3,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
149,loggedout,,,10156548,house,house,369000,forsale,9100,l,installed,,good,electric,290,5,200,,,,,,,1,,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
150,loggedout,,,10156547,house,house,329000,forsale,9120,l,installed,1950,good,gas,317,2,339,,true,,,,,,3,,3775432,heylenvastgoedwaasland,agency,,,,,classifieddetails,en
151,loggedout,,,10156546,apartment,apartment,205000,forsale,2660,l,semiequipped,1968,good,,207,3,,,true,,true,,,,,,3839364,heylenvastgoedantwerpen&#039;tzand,agency,,,,,classifieddetails,en
152,loggedout,,,10084891,apartment,apartment,345000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
153,loggedout,,,10084885,apartment,apartment,349000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
154,loggedout,,,10084882,apartment,apartment,349000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,1,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
